Source,Target,Type,id,label,timeset,weight
10685,10692,Undirected,225535,,,71
10907,10910,Undirected,229196,,,71
10936,10532,Undirected,227897,,,71
10532,10570,Undirected,228253,,,70
10575,10558,Undirected,224392,,,70
10645,10663,Undirected,224785,,,70
10685,10712,Undirected,226820,,,70
10844,10840,Undirected,228643,,,70
11487,11165,Undirected,228991,,,70
10476,10594,Undirected,224599,,,69
10541,10607,Undirected,225506,,,69
10551,10472,Undirected,225483,,,69
10551,10617,Undirected,228459,,,69
10553,10575,Undirected,225510,,,69
10643,10530,Undirected,230588,,,69
10698,10858,Undirected,225551,,,69
10963,10571,Undirected,228125,,,69
11364,10551,Undirected,232398,,,69
10472,10558,Undirected,224579,,,68
10542,10558,Undirected,228563,,,68
10551,10571,Undirected,227875,,,68
10570,10625,Undirected,227908,,,68
10571,10585,Undirected,224511,,,68
10625,10557,Undirected,232396,,,68
10625,10565,Undirected,228130,,,68
10747,10625,Undirected,227878,,,68
11815,12299,Undirected,235108,,,68
10575,10556,Undirected,224391,,,67
10712,10698,Undirected,224912,,,67
10790,10769,Undirected,225133,,,67
10906,11149,Undirected,229245,,,67
10476,10601,Undirected,225389,,,66
10476,10607,Undirected,225515,,,66
10561,10566,Undirected,236446,,,66
10577,10504,Undirected,226961,,,66
10657,10654,Undirected,237705,,,66
10802,10800,Undirected,238665,,,66
10806,10800,Undirected,238657,,,66
11461,11465,Undirected,231337,,,66
10535,10838,Undirected,225441,,,65
10535,11449,Undirected,228317,,,65
10542,10535,Undirected,224288,,,65
10561,11469,Undirected,231072,,,65
10711,10589,Undirected,230921,,,65
10805,12745,Undirected,241267,,,65
11422,10644,Undirected,245290,,,65
11557,10578,Undirected,232843,,,65
11911,10818,Undirected,242121,,,65
10557,10747,Undirected,229120,,,64
10558,10599,Undirected,228798,,,64
10565,10656,Undirected,237843,,,64
10689,10692,Undirected,231158,,,64
10769,10589,Undirected,225087,,,64
10827,10840,Undirected,225518,,,64
10844,10586,Undirected,225493,,,64
10844,11439,Undirected,239272,,,64
10921,10698,Undirected,225705,,,64
11376,11263,Undirected,228431,,,64
10504,11269,Undirected,241716,,,63
10530,11423,Undirected,230496,,,63
10532,10565,Undirected,228231,,,63
10537,10553,Undirected,232662,,,63
10558,10585,Undirected,224679,,,63
10570,10476,Undirected,224533,,,63
10570,10994,Undirected,231096,,,63
10614,10476,Undirected,224707,,,63
10625,10553,Undirected,225503,,,63
10638,10731,Undirected,230548,,,63
10656,10570,Undirected,237679,,,63
10994,10744,Undirected,229830,,,63
10712,10692,Undirected,228169,,,62
10747,10656,Undirected,245201,,,62
10769,10783,Undirected,236035,,,62
11100,10551,Undirected,228066,,,62
11376,11374,Undirected,237910,,,62
11476,11469,Undirected,239782,,,62
10476,10599,Undirected,225497,,,61
10526,10533,Undirected,233701,,,61
10542,10656,Undirected,228565,,,61
10565,10994,Undirected,231135,,,61
10613,10476,Undirected,226887,,,61
10625,10620,Undirected,229209,,,61
10657,10659,Undirected,237704,,,61
10657,11996,Undirected,241982,,,61
10708,10532,Undirected,226096,,,61
10845,10958,Undirected,225773,,,61
12745,12384,Undirected,266463,,,61
10476,10744,Undirected,225391,,,60
10556,10780,Undirected,225096,,,60
10575,10535,Undirected,225418,,,60
10769,10584,Undirected,225085,,,60
11263,11374,Undirected,239345,,,60
11269,10584,Undirected,234782,,,60
11469,11474,Undirected,228416,,,60
11996,10654,Undirected,237672,,,60
10472,10476,Undirected,224582,,,59
10476,10602,Undirected,225390,,,59
10535,10607,Undirected,225514,,,59
10535,11366,Undirected,228551,,,59
10551,10530,Undirected,227874,,,59
10556,10588,Undirected,254383,,,59
10565,10476,Undirected,225381,,,59
10571,10873,Undirected,227935,,,59
10625,11155,Undirected,226730,,,59
10641,10643,Undirected,230554,,,59
10643,10638,Undirected,224759,,,59
10504,10679,Undirected,240846,,,58
10521,10530,Undirected,228105,,,58
10556,10721,Undirected,234954,,,58
10556,10811,Undirected,225195,,,58
10556,11276,Undirected,226947,,,58
10560,10789,Undirected,226116,,,58
10561,11088,Undirected,240525,,,58
10575,11269,Undirected,226942,,,58
10577,10769,Undirected,225155,,,58
10620,10910,Undirected,229217,,,58
10625,10571,Undirected,225395,,,58
10692,10698,Undirected,224893,,,58
10722,10532,Undirected,226761,,,58
10802,12745,Undirected,241933,,,58
10953,10844,Undirected,239319,,,58
11136,11138,Undirected,228093,,,58
